Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
CO-DEVELOPMENT AGREEMENT,Document Name,CO-DEVELOPMENT AGREEMENT
"In the event that SFJ terminates this Agreement pursuant to this Section 14.2.10, then in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB will pay to SFJ, within [***] of the date of termination, an amount equal to the Development Costs paid or incurred by SFJ plus interest at the annual rate of twenty-five percent (25%) from the date such Development Costs were paid or incurred by SFJ and, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, PB shall remain obligated to pay any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time as such Approval Payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2, and reduced by the amount previously paid to SFJ as set forth in this Section 14.2.10.",Post-termination Services,Yes
"at PBÕs written request and election in PBÕs sole discretion, SFJ shall and hereby does, and shall cause its Affiliates to either: (i) wind down in accordance with Applicable Law and observing applicable ethical and regulatory guidelines any or all Clinical Trials being conducted by or on behalf of SFJ or its Affiliate as of the effective date of termination, at SFJÕs cost and expense; or (ii) (x) transfer control to PB of any or all Clinical Trials being conducted by or on behalf of SFJ or its Affiliate as of the effective date of termination and (y) continue to conduct such Clinical Trials being conducted by or on behalf of SFJ or an Affiliate as of the effective date of termination for up to [***] to enable such transfer to be completed without interruption of any such Clinical Trial, in each case ((x) and (y)), at PBÕs cost and expense;",Post-termination Services,Yes
"SFJ shall, and shall cause its Affiliates to, promptly assign to PB or its designee any and all Clinical Trial Agreements, CRO Agreements and other Vendor Agreements to which any of them is a party and cooperate in good faith with PB to provide appropriate notice and new contact information to the applicable Sites, Clinical Investigators, CROs and other Vendors and PB shall accept such assignment of all obligations of SFJ and its Affiliates thereunder without recourse to SFJ other than any indemnification obligations which SFJ may be liable for thereunder.",Post-termination Services,Yes
"During the Development Term, PB will conduct quality oversight inspections and audits of the manufacturing facilities for the Product in accordance with its internal policies and PB will provide SFJ with copies of such audit reports.",Audit Rights,Yes
"PB shall (a) provide SFJ with quarterly unaudited financial statements and annual audited financial statements (the ""PB Financial Statements"") promptly following the availability thereof (and no later than the date filed with the SEC) and provide to SFJ on a quarterly basis concurrently with the applicable PB Financial Statements [***], (b) promptly notify SFJ of achieving the Successful Phase 3 Interim Analysis and the Phase 3 Success Criteria, and (c) on or prior to the end of each [***] during the Term [***].",Audit Rights,Yes
"At least [***] during the Term, upon SFJÕs request, Executive Officers of PB shall meet with Executive Officers of SFJ to review and discuss PBÕs financial condition and operations. [***].",Audit Rights,Yes
"FOR THE AVOIDANCE OF DOUBT, THIS SECTION 15.11 IS NOT MEANT TO LIMIT PBÕS OBLIGATION TO PAY SFJ THE AMOUNTS SET FORTH IN ARTICLE 6 OR SECTION 14.2.",Uncapped Liability,Yes
"Each Party expressly waives and foregoes any right to consequential, punitive, special, exemplary or similar damages or lost profits.",Cap on Liability,Yes
"TO THE MAXIMUM EXTENT PERMITTED BY LAW AND NOTWITHSTANDING ANY PROVISION IN THIS AGREEMENT TO THE CONTRARY, NEITHER PARTY WILL BE LIABLE TO THE OTHER PARTY FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL, RELIANCE OR PUNITIVE DAMAGES OR LOST OR IMPUTED PROFITS OR ROYALTIES OR COST OF PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES, WHETHER LIABILITY IS ASSERTED IN CONTRACT, TORT (INCLUDING NEGLIGENCE AND STRICT PRODUCTS LIABILITY), INDEMNITY OR CONTRIBUTION, AND IRRESPECTIVE OF WHETHER THAT PARTY OR ANY REPRESENTATIVE OF THAT PARTY HAS BEEN ADVISED OF, OR OTHERWISE MIGHT HAVE ANTICIPATED THE POSSIBILITY OF, ANY SUCH LOSS OR DAMAGE.",Cap on Liability,Yes
"THE PARTIES AGREE THAT THE LIMITATIONS SPECIFIED IN THIS SECTION 15.11 WILL APPLY EVEN IF ANY LIMITED REMEDY SPECIFIED IN THIS AGREEMENT IS FOUND TO HAVE FAILED OF ITS ESSENTIAL PURPOSE. WITHOUT LIMITING THE GENERALITY OF THE FOREGOING, ""CONSEQUENTIAL DAMAGES"" WILL BE DEEMED TO INCLUDE, AND NEITHER PARTY WILL BE LIABLE TO THE OTHER PARTY OR ANY OF SUCH OTHER PARTYÕS AFFILIATES, REPRESENTATIVES OR STOCKHOLDERS FOR ANY DAMAGES BASED ON OR MEASURED BY LOSS OF PROJECTED OR SPECULATIVE FUTURE SALES OF THE PRODUCT, ANY PAYMENT DUE UPON ANY UNACHIEVED EVENT UNDER ARTICLE 6, OR ANY OTHER UNEARNED, SPECULATIVE OR OTHERWISE CONTINGENT PAYMENTS PROVIDED FOR IN THIS AGREEMENT.",Cap on Liability,Yes
"In the event that SFJ terminates this Agreement pursuant to this Section 14.2.1 then in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB will pay SFJ, within [***] of the date of termination, an amount equal to three hundred percent (300%) of Development Costs paid or incurred by SFJ prior to such termination.",Liquidated Damages,Yes
"Commencing as of the Effective Date and thereafter during the Development Term, and subject to Section 12.3.2 below, each Party will carry and maintain, at its own expense, insurance coverage of the kind and with liability limits that, at a minimum, satisfy the requirements of Section 12.3.2, to protect itself and the other Party against any claims or liabilities that may arise from the conduct of the Clinical Trials and all other rights and obligations hereunder with insurers with a minimum ""A-"" A.M. Best rating.",Insurance,Yes
Any deductibles for such insurance policies will be assumed by the insuring Party.,Insurance,Yes
"Commencing as of the start of the Clinical Trials and thereafter, during the Term (or longer if otherwise stated below), at a minimum, each Party will maintain the following types of insurance coverage at a minimum level that is the greater of (a) the highest minimum level required by Applicable Law in the countries in which the Clinical Trials and other obligations hereunder are being performed or (b) the following (to the extent different).",Insurance,Yes
"Commercial General Liability: [***] dollars ($[***]) per occurrence_ [***] dollars ($[***]) Product and Completed Operations aggregate, including Premises & Operations, Personal Injury, Product and Completed Operations_ [***] dollars ($[***]) combined single limit on all owned, non-owned and hired vehicles of such Party.",Insurance,Yes
Umbrella Excess Liability: [***] dollars ($[***]) per occurrence.,Insurance,Yes
Clinical Trials Liability: [***] dollars ($[***]) per occurrence.,Insurance,Yes
"PB will obtain such Clinical Trials Liability insurance on a global basis, and, if required, supplemented Clinical Trials Liability Insurance in the US, at its expense and SFJ will obtain supplemental Clinical Trials Liability insurance for the SFJ Territory and on a country specific basis in the European Clinical Trial Countries as required by Applicable Law at its expense, which will be considered Development Costs.",Insurance,Yes
Coverage must be maintained for as long as required by Applicable Law in each country after release of the last Subject from the Clinical Trials or where there is no legal requirement at least [***] after the termination of this Agreement.,Insurance,Yes
"Any subcontractor, including any Permitted Third Party, who provides professional services to such Party for the Clinical Trials, will obtain Professional Liability Insurance in lieu of Clinical Trial Insurance, with a minimum limit of [***] dollars ($[***]) per occurrence.",Insurance,Yes
Coverage must be maintained for at least [***] after the later of (i) expiration or early termination of this Agreement and (ii) release of the last Subject from the Clinical Trials.,Insurance,Yes
"Each Party will include the other Party and its Affiliates as additional insured parties on such PartyÕs Clinical Trial Liability insurance, as set forth in Section 12.3.2.3 for [***] after the later of termination of this Agreement or release of the last Subject from the Clinical Trials.",Insurance,Yes
"Prior to a Program Transfer, PB will be responsible for maintaining product liability insurance related to the Development and Source: PHASEBIO PHARMACEUTICALS INC, 10-K, 3/30/2020Commercialization of the Product at its expense with SFJ to be named as an additional insured party.",Insurance,Yes
"Prior to a Program Transfer, PB will be responsible for maintaining product liability insurance related to the Development and Commercialization of the Product at its expense with SFJ to be named as an additional insured party.",Insurance,Yes
"From and after a Program Transfer, SFJ will be responsible for maintaining product liability insurance related to the Development and Commercialization of the Product at its expense with PB to be named as an additional insured party.",Insurance,Yes
